Frequency,Amplitude,Phase
8.343711e-03,3.572229e+01,-2.89E+00
8.405978e-03,2.594094e+01,1.310970e+00
8.468244e-03,2.731342e+01,5.920878e-02
8.530511e-03,9.017580e+00,-1.93E+00
8.592777e-03,1.988361e+01,2.608242e+00
8.655044e-03,1.522719e+01,1.136643e+00
8.717310e-03,2.479077e+00,-3.12E+00
8.779577e-03,4.630532e+01,2.933192e+00
8.841843e-03,2.783926e+01,2.323709e+00
8.904110e-03,3.849038e+01,5.252819e-01
8.966376e-03,2.590995e+01,-3.13E+00
9.028643e-03,7.320895e+00,1.138102e+00
9.090909e-03,3.725208e+01,1.275316e-01
9.153176e-03,1.413550e+01,1.394932e+00
9.215442e-03,2.624121e+01,9.098554e-01
9.277709e-03,9.819763e+00,1.914227e-01
9.339975e-03,2.337053e+01,8.899294e-01
9.402242e-03,1.652589e+01,2.746337e+00
9.464508e-03,2.569110e+01,2.872414e+00
9.526775e-03,2.813408e+01,1.058506e+00
9.589041e-03,2.486393e+01,2.480477e+00
9.651308e-03,2.777325e+01,1.208148e+00
9.713574e-03,1.483050e+01,-6.67E-01
9.775841e-03,3.372675e+00,-8.99E-01
9.838107e-03,1.687328e+01,1.242278e+00
9.900374e-03,3.719171e+00,1.494122e+00
9.962640e-03,1.896692e+01,1.681855e+00
1.002491e-02,1.757719e+01,1.059332e+00
1.008717e-02,8.063957e+00,-1.61E+00
1.014944e-02,2.287836e+01,6.417363e-01
1.021171e-02,1.700905e+01,1.905979e-01
1.027397e-02,2.644143e+01,1.533843e+00
1.033624e-02,2.417851e+01,2.270026e+00
1.039851e-02,1.964799e+01,1.307128e+00
1.046077e-02,2.208995e+01,2.789967e+00
1.052304e-02,2.078464e+01,7.227602e-01
1.058531e-02,5.147811e+01,2.461377e+00
1.064757e-02,1.204396e+01,1.184166e+00
1.070984e-02,3.009710e+01,1.691176e+00
1.077210e-02,1.830718e+01,5.917881e-01
1.083437e-02,1.732581e+01,-7.39E-01
1.089664e-02,3.515857e+01,2.357418e+00
1.095890e-02,4.683809e+01,8.583697e-01
1.102117e-02,1.306143e+01,-2.90E+00
1.108344e-02,8.032917e+00,2.645621e+00
1.114570e-02,1.079583e+01,-1.23E+00
1.120797e-02,2.245450e+01,3.133305e+00
1.127024e-02,2.200145e+01,2.972355e+00
1.133250e-02,1.742566e+01,1.991495e-01
1.139477e-02,1.895266e+01,1.366575e+00
1.145704e-02,6.414283e+00,2.535824e+00
1.151930e-02,2.551258e+01,-2.44E+00
1.158157e-02,3.915079e+01,2.325902e+00
1.164384e-02,6.986233e+00,1.192010e+00
1.170610e-02,9.140332e+00,-2.19E-01
1.176837e-02,2.991806e+01,2.427968e+00
1.183064e-02,1.021734e+01,4.667299e-01
1.189290e-02,1.697466e+01,6.111474e-01
1.195517e-02,6.179731e+00,1.733602e-01
1.201743e-02,1.438669e+01,1.738234e+00
1.207970e-02,8.854405e+00,-2.88E+00
1.214197e-02,1.302249e+01,2.344455e+00
1.220423e-02,2.014043e+01,1.671864e+00
1.226650e-02,2.616390e+01,1.427679e+00
1.232877e-02,2.789867e+00,-2.29E+00
1.239103e-02,3.194328e+01,2.536668e+00
1.245330e-02,1.965866e+01,2.392133e+00
1.251557e-02,1.631121e+01,5.751793e-01
1.257783e-02,2.429902e+01,1.986572e+00
1.264010e-02,6.218608e+00,-8.36E-01
1.270237e-02,1.205060e+01,-2.20E-02
1.276463e-02,5.013638e+00,1.346528e+00
1.282690e-02,1.536917e+01,2.573349e+00
1.288917e-02,2.732008e+01,2.115267e+00
